date,open,high,low,close,volume
2024-01-02,100.0,102.0,99.0,101.0,100000
2024-01-03,101.0,103.0,100.0,102.5,110000
2024-01-04,102.8,104.0,101.8,103.2,105000
2024-01-05,103.5,104.2,102.0,102.4,98000
2024-01-08,102.2,105.0,101.9,104.6,120000
2024-01-09,104.5,105.1,102.5,103.0,115000
2024-01-10,102.8,103.2,99.8,100.5,145000
2024-01-11,100.2,101.0,97.5,98.2,160000
2024-01-12,98.5,100.8,98.0,100.2,132000
2024-01-15,100.5,102.5,99.9,101.8,118000
2024-01-16,101.9,103.3,101.1,102.7,109000
2024-01-17,102.8,105.2,102.4,104.8,125000
